				["desc_unlock"] = "",
				["ending"] = {
				},
				["event_days_offset"] = 27,
				["exit_id"] = 0,
				["icon"] = "haicuo_story_level_1",
				["ignore_around_complete"] = true,
				["image"] = "3",
				["in_factor"] = {
				},
				["involve_ids"] = {
				},
				["is_enable"] = true,
				["is_ending"] = false,
				["is_exit"] = false,
				["is_hide"] = false,
				["is_start"] = false,
				["is_two"] = false,
				["left_bottom_id"] = 0,
				["left_id"] = 5,
				["left_top_id"] = 0,
				["level_id"] = 0,
				["location"] = {
					-190,
					570,
				},
				["map_id"] = 5,
				["modify_quest"] = {
					8783,
				},
				["mutex_ids"] = {
				},
				["mutex_pack_ids"] = {
				},
				["pre_ending"] = {
				},
				["rckey"] = "1_7",
				["reward_item_pack"] = {
				},
				["rid"] = 1,
				["right_bottom_id"] = 0,
				["right_id"] = 7,
				["right_top_id"] = 0,
				["show_quest"] = 8767,
				["show_type"] = 9,
				["success_factor"] = {
				},
				["success_rpgitem"] = {
				},
				["unlock_factors"] = {
				},
				["unlock_hide"] = false,
				["unlock_nodes"] = {
				},
				["unlock_quests"] = {
					8767,
				},
				["unlock_rpgitem"] = {
				},
				["unlock_tips"] = "",
			},
			{
				["ID"] = 7,
				["chapter_id"] = 0,
				["choice_factor"] = {
				},
				["choice_modify_quest"] = {
				},
				["choice_rpgitem"] = {
				},
				["cid"] = 8,
				["desc"] = "[indent]“从这里向西北三千里，蓐收海之上有一滩涂，名不死之野。其上生有柑木。本日的考题，就是此物。”长老随手一挥，空中出现一幅舆图，一株长相奇特的树从中钻出，刹那间变得枝繁叶茂，还挂着几个沉甸甸的金色果实。\n[indent]“我要你们在日影西斜之前带着果实，回到此处，方算得合格。”\n[indent]长老在上面细心讲解此行的注意事项，下面的人听讲却并不专心。\n[indent]“哎，那个就是无咎？”\n[indent]“就是他，被长老们称为继归殳之后族中最好的苗子。”\n[indent]“真有那么厉害？我倒想和他比比。”\n[indent]“和他比？他小时候偷偷用族长的信物打开秘境，后来被发现了也没见受到什么责罚。”\n[indent]“无非是有个好姐姐护着罢……呵，这么一看今天的试炼也真有意思，来了个最强的，又塞了个最弱的。”\n[indent]“你说谁？”\n[indent]顺着旁边人的目光看过去，一个略显瘦小的青色身影也站在队列中，正专心致志地目视前方，像是听得十分认真。\n[indent]“是在化形仪式上飞得最慢的那个？”\n[indent]“何止飞得慢，化形也比旁人更费些劲。”\n[indent]“看来这次试炼，有热闹看了。”\n[indent]他们的音量不小，显然是有几分故意让本人听到的意思，然而被点到名的两人面色如常，眼睛都不眨一下，似是一个字都没听进去。\n[indent]长老的发言已近尾声，几人自觉无趣，也不再言语。\n[indent]“……你们成长至今，平日活动的地方不过方圆数百里内，从不曾去过那么远，也未曾离开过赤鷩的领地。世间精怪无数，脾气古怪者有之，嗜血成性者亦有之。在外禁止你们私自相斗，亦不可仗着天赋，就去招惹他族，惹是生非。”\n[indent]“违者，一年内不得离山，只许在秘境中练习术法，磨炼心境。”\n\n[indent]其他种族修炼到一定阶段也可以凭借法术御风而行，却始终不像羽生众飞得那般自由。挥动双翼，掠过群山与没有尽头的茫茫大海，无咎终于看到了长老口中的落脚之处。他变回人形落下，拿出临行前长姐私下递给他的舆图。\n[indent]“还是长姐好，知道我不认路，还特地为我准备了图……”然而眼前的风景怎么看都和舆图对不上，无咎把手中的图倒了过来，随后又倒了过来。\n[indent]好复杂，看不懂。\n[indent]“反正要求是把东西带回去，等会原路返回就是。”\n[indent]打定主意，少年收起舆图，随意挑了个方向往前走。预想中随处可得的柑木果实没有一丝踪影，不知不觉，他便走到了原野的更深处。\n[indent]不知过了多久，无咎终于远远地望见了一片耀眼的金黄，几棵硕果累累的树就站在岸边。\n[indent]“呼，总算找到了，我还以为我落错了地方……嗯？这几棵的果子还剩这么多，难不成还没人拿过？嘿嘿，运气真好！”\n[indent]长老并没强调要带回多少，无咎秉承着多多益善的原则装了一兜子，想着给完姐姐，回头还能分给山上的其他小赤鷩，满意地拍拍口袋。然而就在他准备返程时，河边竟传来一声呼救。\n[indent]无咎想也没想就往河边奔去，只是走近了才发现，水面上漆黑一片，趋近静止，即使将掌间火焰举到水上去看，也是什么都看不见。\n[indent]就在他准备再靠近点寻找声音来源时，突然感觉到水面升起一股森然的寒意，与此同时，身后飘起了一缕影子。\n[indent]“小心！”\n[indent]一小团火焰猛地飞过，只听一声惨叫，一团黑漆漆的东西就飞快地掠过草地，以肉眼几乎看不清的速度窜进一旁的树荫中，跑得无影无踪。\n[indent]无咎抬头望去，是个穿着青衣的少年。\n[indent]“谢谢，多亏有你提醒。”\n[indent]“同族互相帮助，本是应该，只是让他跑了。”\n[indent]“跑了就跑了吧，我也没什么事，不过我好像没见过那种黑漆漆的种族？”\n[indent]“影族最是畏光，自然不敢在赤鷩族周围出现。”\n[indent]“影族……影子？”\n[indent]“是，没有自己的真容，以变化为他人他物立身。”\n[indent]“什么都能变？”\n[indent]“终究是只得其形，难仿其魂。”青衣少年摸了摸手腕处的珠串，继续道，“影族生来弱小，妖不成妖，魔不成魔，手段阴狠，又颇为记仇。就像方才他以求救声引你来水边，实是想害你入水，好乘机夺取双目。”\n[indent]“还能这样？”无咎支起下巴，“虽然赤鷩不善水，但也不至于能要了性命，真到了水里，他就自信能打得过我？他在水里很厉害？”\n[indent]青衫少年闻言温和地笑笑，“此水名为弱水，鸿毛不浮，是羽生众最为畏惧之地，不止我们，即使是金鳞、拨棹那类生于水中的种族，也不敢靠近这里。他只待你虚弱时取走，不必入水。”\n[indent]“原来是这样，看你好像和我差不多大，怎么什么都懂。”\n[indent]“这是长老刚刚在会上所讲，我只是记住了而已。”\n[indent]“哦怪不得我没印象，那会我正在想回去后做什么。”\n[indent]“嗯？那那些人说的话……”\n[indent]“什么话？”\n[indent]见无咎一脸不解地歪头，少年略怔了怔，而后暗自好笑。原以为这位被很多人寄予厚望的少年是心志坚定，丝毫不为那些闲言碎语所动，这么一看，难怪“从未入心”，根本就是连耳也未入。\n[indent]“没什么，是我随口一说。”\n[indent]无咎点点头，没有再追问，朝那个影子离开的方向又望了望。\n[indent]“很在意？”\n[indent]“没，我就是在想，虽然长姐说过有很多人想要我们的眼睛，可他们毕竟是影子，天生相克，就算真的拿到了，也能用得上么？”\n[indent]“的确，刚刚那只，可能算是族中的异类吧。”\n[indent]“异类？”\n[indent]青衫少年俯下身子，从地上捡起一块泛着光的石头——那是影子刚刚在逃跑时落下的、取自招瑶之山的玉石。\n[indent]“身为影子，却意图追逐光明，违逆本性，岂不是异类。”\n[indent]他嗓音低沉，声音中似乎蕴含着某种情绪，无咎没听懂，他只是跟着少年的动作，也往前走了两步。\n[indent]“不可以那样么？”\n[indent]“什么……？”\n[indent]“喜欢什么和不喜欢什么，不都是看自己心意么，如果什么都和别人一样，那才真成别人的影子了……哦不对，他们本来就是影子来着。”\n[indent]“…………”\n[indent]少年本就长得比同龄人略矮一点，现下又低着头，让人看不清表情，就在无咎还在反思自己是不是说错了什么话时，对方已经先行一步转过身。\n[indent]“弱水危险，还是不要再靠近为好。”\n[indent]“哦，以后不会了，不过你不用担心，我运气一直都挺好的！”无咎眨眨眼睛，“在这么偏的地方还能碰到有人救我。”\n[indent]“……”\n[indent]“我叫无咎，你呢？”\n[indent]“……孚。”\n[indent]“长老爷爷交代的任务完成了。”他笑着朝对方手中塞了个果子，“一起回去吧，孚！”\n",
				["desc_unlock"] = "",
				["ending"] = {
				},
				["event_days_offset"] = 27,
				["exit_id"] = 0,
				["icon"] = "haicuo_story_level_1",
				["ignore_around_complete"] = true,
				["image"] = "3",
				["in_factor"] = {
				},
				["involve_ids"] = {
				},
				["is_enable"] = true,
				["is_ending"] = false,
				["is_exit"] = false,
				["is_hide"] = false,
				["is_start"] = false,
				["is_two"] = false,
				["left_bottom_id"] = 0,
				["left_id"] = 6,
				["left_top_id"] = 0,
				["level_id"] = 0,
				["location"] = {
					-375,
					500,
				},
				["map_id"] = 5,
				["modify_quest"] = {
					8784,
				},
				["mutex_ids"] = {
				},
				["mutex_pack_ids"] = {
				},
				["pre_ending"] = {
				},
				["rckey"] = "1_8",
				["reward_item_pack"] = {
				},
				["rid"] = 1,
				["right_bottom_id"] = 0,
				["right_id"] = 8,
				["right_top_id"] = 0,
				["show_quest"] = 8783,
				["show_type"] = 9,
				["success_factor"] = {
				},
				["success_rpgitem"] = {
				},
				["unlock_factors"] = {
				},
				["unlock_hide"] = false,
				["unlock_nodes"] = {
				},
				["unlock_quests"] = {
					8783,
				},
				["unlock_rpgitem"] = {
				},
				["unlock_tips"] = "",
			},
			{
				["ID"] = 8,
				["chapter_id"] = 0,
				["choice_factor"] = {
				},
				["choice_modify_quest"] = {
				},
				["choice_rpgitem"] = {
				},
				["cid"] = 9,
				["desc"] = "02:15\n我又做了个梦，这次的和以前都不一样，所以我立刻就爬起来写日志了，要是等再睡一觉肯定会忘记的！\n\n02:30\n坏消息：好像还是忘了。\n不过经过我仔细的思考，梦里好像有棵长满果子的树，黄澄澄的，看着像橘子！可惜梦里的我没吃。\n等到明天接受完成年礼，就能想起那些梦么？\n想吃橘子了。\n\n02:47\n找了一大圈，除了我买回来的那些橘子汽水，就在冰箱角落里发现了一个有点蔫的橘子，不知道是什么时候买的……\n应该没事吧。\n\n\n[indent][i -10]叩叩。[/i]\n[indent]门边传来被扣响的声音，无咎被这清晨的动静吵醒，睁开眼睛，发现钢笔在纸上划出长长的痕迹，而自己的左手还握着一个明显水分不足的橘子。\n[indent]“还不起床？差不多到时间了。”是北洛的声音。\n[indent]“哎胳膊麻了麻了——”忍着那股奇异的酥麻感，无咎甩了甩手臂，“马上就来！再等我五分……十分钟！”\n[indent]门外的人没有再多说什么，听着脚步声渐渐远去，无咎一边活动一边低下头看着自己没写完的日志，再次拿起了笔。\n[indent]经过一夜的放置，笔尖已经彻底干涸，在纸上徒劳地留下划痕，无咎对着哈了几口气，又蘸了点墨水，在本子的最后使劲画了几道，才重新开始出墨。\n[indent]他急匆匆地写完，把本子和笔都塞进抽屉里，然后看也没看地抓起一件外套，披在身上跑了出去。\n\n[indent]在距离鹿路运输不远的江边伫立着几间空荡荡的仓库，小港口已经废弃，四下无人，盘算下来是接受成年礼最好的地点。\n[indent]无咎到达的时候，其他人已经等在里面，孚站在房间中央认真地忙碌着，一旁就放着那块熟悉的石碑。\n[indent]见有人进来，唐路遥上下打量了一眼。\n[indent]“怎么穿的这件？”\n[indent]无咎低头，这才发现自己身上穿的是那件已经洗好准备还给北洛的墨绿色夹克。\n[indent]“着急跑出来不小心拿错了。”他抻了一下稍微有点短的袖子，“这样正好，我那件刚缝完，要是待会又烧坏了怎么办，路估计不会再答应给我补了。”\n[indent]“补是可以补，不过起码要等你先还完旧的那笔，放心，我会帮你扣的。”\n[indent]“啊，我现在欠多少了？有几个月不能去十元店？……算了还是不要告诉我了……”\n[indent]北洛耸耸肩，一副“早知如此”的表情。\n[indent]“看来你是准备好还我件新的？”\n[indent]“你想要我那件么？”\n[indent]“那还是算了。”\n[indent]看到不仅自家的几位，连归殳都朝这边瞟了好几眼，北洛有些无语地别开了脸。\n[indent]“早上好，归殳姐！”\n[indent]为了避免名称上区分不开，无咎心领神会地“跟从”了孚的叫法，静静站在旁边的人闻言转过头，看着无咎跑过来，不自觉地绽开一个微笑。\n[indent]“头发都睡乱了。”她踌躇了片刻，还是没忍住抬起手，试图抚平那一缕翘起来的头发。\n[indent]虽然有些意外，但无咎没有躲开，反而像是有些不好意思地笑了笑，“嘿嘿，是我不小心趴在桌子上睡着了。”\n[indent]“紧张么？”\n[indent]“本来是有一点，不过和大家聊完之后已经好多了！”\n[indent]女子点点头，似是想要再叮嘱些什么，就听见不远处的孚说了一句。\n[indent]“完成了。”\n[indent]听见声音，归殳走上前，与从画好的法阵中间退出来的孚并肩站在一起，仔仔细细地检查着地面上的纹路。\n[indent]“如何？”\n[indent]“天衣无缝。”归殳眼中闪过赞许之色，“即使是我，也未必能画得和秘境中完全一致。”\n[indent]“谬赞了，不过是些雕虫小技。”\n[indent]无咎也紧跟着跑上来，绕着走了半圈又回来：“这是干什么用的？”\n[indent]“举行成年礼必备的条件有两个。”孚伸出手指向地面，“其一为赤鷩族中秘境自古就存在的法阵，具体便如诸位所看到的这样，至于其二么……”\n[indent]随着他转头，众人也将目光转向一旁的人。\n[indent]“其二为火种。”归殳单手掐诀，一片羽毛自虚空出现，迎风而燃。\n[indent]“此乃我族代代相传的力量，必须以之点燃，才算得试炼开始。”\n[indent]唐路遥摸摸下巴，“那那块碑的作用是？”\n[indent]“虽不明其中缘由，但有此碑在，便可缓解赤鷩觉醒时过于猛烈的力量，使其顺利度过仪式。”归殳补充道，“这也是成年礼设在秘境中的另一个原因。”\n[indent]紫都笑笑，“这么说起来，在异世界都能找到这块碑，小小鸟可真是幸运。”\n[indent]“三者齐备，随时可以开始。”孚转过身，指尖捻了捻手中的珠串，“无咎，准备好了么？”\n[indent]“嗯。”被问到的人摆出了个和平时一样的笑容，“没问题！”\n[indent]“那么，去站在阵法中央。”\n[indent]几人略微退后，分站在旁边，北洛看向旁边的人：“你不需要去帮忙么？”\n[indent]孚摇摇头，眯起眼睛注视着站在最前面的人。\n[indent]“只有族长或是继承人，才有资格为族人点燃火种。”\n[indent]此时归殳站在法阵边上，手中朱红色的精纯力量不断飘动，“别怕，长……我们和鹿路运输的几位都在这里。”\n[indent]“嗯！”\n[indent]他闭上了眼睛。\n[indent]随着归殳口中念念有词，空气不同寻常地流动起来，磅礴的力量自其手中倾泻而出，不断涌入无咎的体内。那力量与法阵、石碑相互共鸣，发出震耳的声音。火光直冲屋顶，与此同时，巨大的热量升腾而起，灼烤着在场每一个人的神经。\n[indent]即使曾有预想，其余三人也没想到这场仪式会有这么大的威能，每个人都不约而同地紧张起来。火焰越烧越烈，直至从那力量的漩涡中腾起一只火鸟，鸟儿直上云霄，发出一声仿若震彻天地的长鸣。\n[indent]烟雾散去，火焰渐熄，众人颇有些心惊地看向房间中央。时间不知过了多久，也许只有一分钟，却像是几个小时那么漫长。\n[indent]终于，他们看清了那个人影——\n[indent]和之前没有任何区别的无咎站在原地，歪了歪头。\n[indent]“诶？”\n",
				["desc_unlock"] = "",
				["ending"] = {
				},
				["event_days_offset"] = 27,
				["exit_id"] = 0,
				["icon"] = "haicuo_story_level_1",
				["ignore_around_complete"] = true,
				["image"] = "3",
				["in_factor"] = {
				},
				["involve_ids"] = {
				},
				["is_enable"] = true,
				["is_ending"] = false,
				["is_exit"] = false,
				["is_hide"] = false,
				["is_start"] = false,
				["is_two"] = false,
				["left_bottom_id"] = 0,
				["left_id"] = 7,
				["left_top_id"] = 0,
				["level_id"] = 0,
				["location"] = {
					-525,
					350,
				},
				["map_id"] = 5,
				["modify_quest"] = {
					8785,
				},
				["mutex_ids"] = {
				},
				["mutex_pack_ids"] = {
				},
				["pre_ending"] = {
				},
				["rckey"] = "1_9",
				["reward_item_pack"] = {
				},
				["rid"] = 1,
				["right_bottom_id"] = 0,
				["right_id"] = 20,
				["right_top_id"] = 0,
				["show_quest"] = 8784,
				["show_type"] = 9,
				["success_factor"] = {
				},
				["success_rpgitem"] = {
				},
				["unlock_factors"] = {
				},
				["unlock_hide"] = false,
				["unlock_nodes"] = {
				},
				["unlock_quests"] = {
					8784,
				},
				["unlock_rpgitem"] = {
				},
				["unlock_tips"] = "",
			},
			{
				["ID"] = 9,
				["chapter_id"] = 0,
				["choice_factor"] = {
				},
				["choice_modify_quest"] = {
				},
				["choice_rpgitem"] = {
				},
				["cid"] = 12,
				["desc"] = "[indent]“你确定没问题？真的不用再歇一天？”唐路遥站在一旁，看着坐在地上穿鞋的无咎，脸上写满了不信任。\n[indent]“没事没事，孚他们不是也说没关系么？”\n[indent]“他们说的是'暂不确定，需要观察'，毕竟你那个仪式……”\n[indent]“路你就让我去吧，仓库都堆了挺多单子了，再说再这么待下去我感觉自己头上都要发霉长蘑菇了。”\n[indent]唐路遥很想接一句要长也是烤蘑菇，但还是咽下了这句无聊的笑话，拿起手中的机器操作了几下，与此同时，无咎的通讯器传来滴滴的提示音。\n[indent]“这会也不早了，你今天少送点，循序渐进。”他顿了顿又说，“克制一下，少用能力。”\n[indent]“放心吧，我走啦！”\n[indent]看着无咎兴冲冲地拿起快递箱往外走的样子，唐路遥没忍住叹了口气。\n[indent]自成年礼结束后已经过了两天，无咎的身上却没有发生任何变化，整个人似乎和以前一模一样，仿佛那场仪式完全没有起效。\n[indent]按照孚的说法，成年礼只会出现两种情况，成功者灵力增强，成长为更加强大的赤鷩；不成则将受自身火焰反噬之苦。既然没有感到不适，按道理来说是前者。\n[indent]然而道理归道理，事实是从没有人在异世界进行过这种仪式，因此也没有人能够给出确切的答案和保证，除了继续观察，目前似乎也没有更好的办法。\n[indent]所幸，无咎没有再出现过发冷或是疼痛的情况，也许这本身就算得上仪式成功的证明——每个人都心怀侥幸地想着。\n\n[indent]可是这天，无咎没有回来。\n",
				["desc_unlock"] = "",
				["ending"] = {
				},
				["event_days_offset"] = 28,
				["exit_id"] = 0,
				["icon"] = "haicuo_story_level_1",
				["ignore_around_complete"] = true,
				["image"] = "3",
				["in_factor"] = {
				},
				["involve_ids"] = {
				},
				["is_enable"] = true,
				["is_ending"] = false,
				["is_exit"] = false,
				["is_hide"] = false,
				["is_start"] = false,
				["is_two"] = false,
				["left_bottom_id"] = 0,
				["left_id"] = 21,
				["left_top_id"] = 0,
				["level_id"] = 0,
				["location"] = {
					-600,
					175,
				},
				["map_id"] = 5,
				["modify_quest"] = {
					8786,
				},
				["mutex_ids"] = {
				},
				["mutex_pack_ids"] = {
				},
				["pre_ending"] = {
				},
				["rckey"] = "1_12",
				["reward_item_pack"] = {
				},
				["rid"] = 1,
				["right_bottom_id"] = 0,
				["right_id"] = 10,
				["right_top_id"] = 0,
				["show_quest"] = 8785,
				["show_type"] = 9,
				["success_factor"] = {
				},
				["success_rpgitem"] = {
				},
				["unlock_factors"] = {
				},
				["unlock_hide"] = false,
				["unlock_nodes"] = {
				},
				["unlock_quests"] = {
					8785,
				},
				["unlock_rpgitem"] = {
				},
				["unlock_tips"] = "",
			},
			{
				["ID"] = 10,
				["chapter_id"] = 0,
				["choice_factor"] = {
				},
				["choice_modify_quest"] = {
				},
				["choice_rpgitem"] = {
				},
				["cid"] = 13,
				["desc"] = "[indent]无咎苏醒过来的时候，先是花了几秒钟适应周围的黑暗。甩了甩有些发晕的脑袋，他挣扎着想要坐起来，就在这时，可供着力的“地面”猛地颠簸了一下，来不及平衡，他骨碌骨碌地从一边撞到另一边。如果不是面前有东西挡着，恐怕还会滚动得更远。\n[indent]“怎么回事……”无咎努力想要扒拉开面前的障碍物，却意外带起一阵小小的风，“不是，我怎么变回原形了！”\n[indent]说是原形，和以前相比却微妙地大了一圈，毫无所觉的无咎兴奋地拍了拍翅膀，恨不得立刻回去让所有人都看看。又一个颠簸袭来，迫使再次撞到头的小鸟从“重获鸟身”的惊喜中脱离出来，开始认认真真地思考起自己眼下的处境。\n[indent]“这到底是什么地方？我记得我拿着要送的快递出门，乌园路、冬青路，然后是垂花街，再然后……”\n[indent]就想不起来了。\n[indent]感觉自己好像被装进一个正在移动的箱子里，他翅膀划了下地板，点燃了一簇极小的火苗。看到堆得像山一样的快递盒不算整齐地摆放在货厢中，过于熟悉的场面立刻让无咎松了口气，随后马上掐灭了火——这个动作几乎是他的一种条件反射。\n[indent]正在他胡思乱想的时候，车缓缓地停了下来。他赶紧蹦到门口，张开翅膀，等着向工作人员展示大家期待已久的“小鸟回归”。\n[indent]直到面前出现了两张完全不认识的脸。\n[indent]——这不是鹿路运输的车！\n[indent]“什么东西？车上怎么混入了一只鸟？？”\n[indent]“我去，什么时候进去的？可别把箱子搞脏了！”\n[indent]被质疑的无咎愤怒地大喊着“我可不是那么没礼貌的小鸟！”，奈何在对面的人耳中，他们只听见了不间断的啾啾鸟鸣声。吵累了的无咎终于放弃交流，挥舞着翅膀飞走了\n[indent]在高空仔细辨认了半天，他才发现这里几乎已经是海临的另一端，差一点他就要跟着不知道出口去哪的货物一起送上船。幸好平时天天在城中穿梭，各个港口到城中心的路也足够熟悉，他拣了个眼熟的建筑物，努力地朝那边飞去。\n[indent]也许是因为身形变小，也许是因为已经许久不曾“正经”飞行，往日并不放在眼里的路程，今天却觉得格外遥远。飞过钟楼，飞过暮色，天空渐渐昏暗起来，城市点亮了无数的霓虹灯，黑夜因此流光溢彩，却也愈发叫人失去方向。\n[indent]翅膀越来越沉重，呼吸也变得不畅，胸口处又渐渐刺痛起来，像有一团火在将烧未烧。无咎不知道自己飞了多久，也不知道接下来还要飞多久。\n[indent]他脑子里只有一个念头：\n[indent]这次没有人会带他回去了，他必须靠自己。\n[indent]烈火自体内涌出，直到每一片羽毛都开始燃烧。\n",
				["desc_unlock"] = "",
				["ending"] = {
				},
				["event_days_offset"] = 28,
				["exit_id"] = 0,
				["icon"] = "haicuo_story_level_1",
				["ignore_around_complete"] = true,
				["image"] = "3",
				["in_factor"] = {
				},
				["involve_ids"] = {
				},
				["is_enable"] = true,
				["is_ending"] = false,
				["is_exit"] = false,
				["is_hide"] = false,
				["is_start"] = false,
				["is_two"] = false,
				["left_bottom_id"] = 0,
				["left_id"] = 9,
				["left_top_id"] = 0,
				["level_id"] = 0,
				["location"] = {
					-630,
					0,
				},
				["map_id"] = 5,
				["modify_quest"] = {
					8787,
				},
				["mutex_ids"] = {
				},
				["mutex_pack_ids"] = {
				},
				["pre_ending"] = {
				},
				["rckey"] = "1_13",
				["reward_item_pack"] = {
				},
				["rid"] = 1,
				["right_bottom_id"] = 0,
				["right_id"] = 11,
				["right_top_id"] = 0,
				["show_quest"] = 8786,
				["show_type"] = 9,
				["success_factor"] = {
				},
				["success_rpgitem"] = {
				},
				["unlock_factors"] = {
				},
				["unlock_hide"] = false,
				["unlock_nodes"] = {
				},
				["unlock_quests"] = {
					8786,
				},
				["unlock_rpgitem"] = {
				},
				["unlock_tips"] = "",
			},
			{
				["ID"] = 11,
				["chapter_id"] = 199,
				["choice_factor"] = {
				},
				["choice_modify_quest"] = {
				},
				["choice_rpgitem"] = {
				},
				["cid"] = 14,
				["desc"] = "",
				["desc_unlock"] = "",
				["ending"] = {
				},
				["event_days_offset"] = 28,
				["exit_id"] = 0,
				["icon"] = "haicuo_story_level_2",
				["ignore_around_complete"] = true,
				["image"] = "3",
				["in_factor"] = {
				},
				["involve_ids"] = {
				},
				["is_enable"] = true,
				["is_ending"] = false,
				["is_exit"] = false,
				["is_hide"] = false,
				["is_start"] = false,
				["is_two"] = false,
				["left_bottom_id"] = 0,
				["left_id"] = 10,
				["left_top_id"] = 0,
				["level_id"] = 17,
				["location"] = {
					-600,
					-175,
				},
				["map_id"] = 5,
				["modify_quest"] = {
				},
				["mutex_ids"] = {
				},
				["mutex_pack_ids"] = {
				},
				["pre_ending"] = {
				},
				["rckey"] = "1_14",
				["reward_item_pack"] = {
				},
				["rid"] = 1,
				["right_bottom_id"] = 0,
				["right_id"] = 0,
				["right_top_id"] = 0,
				["show_quest"] = 8787,
				["show_type"] = 5,
				["success_factor"] = {
				},
				["success_rpgitem"] = {
				},
				["unlock_factors"] = {
				},
				["unlock_hide"] = false,
				["unlock_nodes"] = {
				},
				["unlock_quests"] = {
					8787,
				},
				["unlock_rpgitem"] = {
				},
				["unlock_tips"] = "",
			},
			{
				["ID"] = 12,
				["chapter_id"] = 0,
				["choice_factor"] = {
				},
				["choice_modify_quest"] = {
				},
				["choice_rpgitem"] = {
				},
				["cid"] = 1,
				["desc"] = "Day5 无咎第9节后，开启支线C打打打",
				["desc_unlock"] = "",
				["ending"] = {
				},
				["event_days_offset"] = 25,
				["exit_id"] = 0,
				["icon"] = "haicuo_story_level_1",
				["ignore_around_complete"] = true,
				["image"] = "3",
				["in_factor"] = {
				},
				["involve_ids"] = {
				},
				["is_enable"] = true,
				["is_ending"] = false,
				["is_exit"] = false,
				["is_hide"] = false,
				["is_start"] = false,
				["is_two"] = true,
				["left_bottom_id"] = 0,
				["left_id"] = 0,
				["left_top_id"] = 1,
				["level_id"] = 0,
				["location"] = {
					400,
					-111,
				},
				["map_id"] = 5,
				["modify_quest"] = {
					8805,
				},
				["mutex_ids"] = {
				},
				["mutex_pack_ids"] = {
				},
				["pre_ending"] = {
				},
				["rckey"] = "2_1",
				["reward_item_pack"] = {
				},
				["rid"] = 2,
				["right_bottom_id"] = 0,
				["right_id"] = 18,
				["right_top_id"] = 17,
				["show_quest"] = 8766,
				["show_type"] = 9,
				["success_factor"] = {
				},
				["success_rpgitem"] = {
				},
				["unlock_factors"] = {
				},
				["unlock_hide"] = false,
				["unlock_nodes"] = {
				},
				["unlock_quests"] = {
					8766,
				},
				["unlock_rpgitem"] = {
				},
				["unlock_tips"] = "",
			},
			{
				["ID"] = 13,
				["chapter_id"] = 206,
				["choice_factor"] = {
				},
				["choice_modify_quest"] = {
				},
				["choice_rpgitem"] = {
				},
				["cid"] = 5,
				["desc"] = "",
				["desc_unlock"] = "",
				["ending"] = {
				},
				["event_days_offset"] = 25,
				["exit_id"] = 0,
				["icon"] = "haicuo_story_level_3",
				["ignore_around_complete"] = true,
				["image"] = "1",
				["in_factor"] = {
				},
				["involve_ids"] = {
				},
				["is_enable"] = true,
				["is_ending"] = false,
				["is_exit"] = false,
				["is_hide"] = false,
				["is_start"] = false,
				["is_two"] = false,
				["left_bottom_id"] = 0,
				["left_id"] = 0,
				["left_top_id"] = 16,
				["level_id"] = 7,
				["location"] = {
					416,
					41,
				},
				["map_id"] = 5,
				["modify_quest"] = {
				},
				["mutex_ids"] = {
				},
				["mutex_pack_ids"] = {
				},
				["pre_ending"] = {
				},
				["rckey"] = "3_5",
				["reward_item_pack"] = {
				},
				["rid"] = 3,
				["right_bottom_id"] = 0,
				["right_id"] = 14,
				["right_top_id"] = 0,
				["show_quest"] = 8805,
				["show_type"] = 3,
				["success_factor"] = {
				},
				["success_rpgitem"] = {
				},
				["unlock_factors"] = {
				},
				["unlock_hide"] = false,
				["unlock_nodes"] = {
				},
				["unlock_quests"] = {
					8805,
				},
				["unlock_rpgitem"] = {
				},
				["unlock_tips"] = "",
			},
			{
				["ID"] = 14,
				["chapter_id"] = 206,
				["choice_factor"] = {
				},
				["choice_modify_quest"] = {
				},
				["choice_rpgitem"] = {
				},
				["cid"] = 6,
				["desc"] = "",
				["desc_unlock"] = "",
				["ending"] = {
				},
				["event_days_offset"] = 26,
				["exit_id"] = 0,
				["icon"] = "haicuo_story_level_3",
				["ignore_around_complete"] = true,
				["image"] = "1",
				["in_factor"] = {
				},
				["involve_ids"] = {
				},
				["is_enable"] = true,
				["is_ending"] = false,
				["is_exit"] = false,
				["is_hide"] = false,
				["is_start"] = false,
				["is_two"] = false,
				["left_bottom_id"] = 0,
				["left_id"] = 13,
				["left_top_id"] = 0,
				["level_id"] = 8,
				["location"] = {
					353,
					195,
				},
				["map_id"] = 5,
				["modify_quest"] = {
				},
				["mutex_ids"] = {
				},
				["mutex_pack_ids"] = {
				},
				["pre_ending"] = {
				},
				["rckey"] = "3_6",
				["reward_item_pack"] = {
				},
				["rid"] = 3,
				["right_bottom_id"] = 0,
				["right_id"] = 15,
				["right_top_id"] = 0,
				["show_quest"] = 8774,
				["show_type"] = 3,
				["success_factor"] = {
				},
				["success_rpgitem"] = {
				},
				["unlock_factors"] = {
				},
				["unlock_hide"] = false,
				["unlock_nodes"] = {
				},
				["unlock_quests"] = {
					8774,
				},
				["unlock_rpgitem"] = {
				},
				["unlock_tips"] = "",
			},
			{
				["ID"] = 15,
				["chapter_id"] = 206,
				["choice_factor"] = {
				},
				["choice_modify_quest"] = {
				},
				["choice_rpgitem"] = {
				},
				["cid"] = 7,
				["desc"] = "",
				["desc_unlock"] = "",
				["ending"] = {
				},
